$jinu_attack,레식: 단발 사격,1,AT,(1.0 공격력)의 피해를 줍니다.,E(A>A),gun
$jinu_defend,레식: 전경 방패,1,UT,(1.0 방어력)의 방어를 얻습니다.,S(B>B),@
jinu_maestro,레식: 꿀잼 마에스트로,2,AT,(1.8 공격력)의 피해를 줍니다. 적에게 {감지}를 3 부여합니다.,E(A>A*1.8)/E(M>detect*3),gun
jinu_sight,레식: 까불지마,0,UT,적에게 {감지}를 3 부여합니다.,E(M>detect*3),@
#jinu_mirror,레식: 검은 거울,2,CT,사용 시 어빌리티 북에 <레식: 거울 사출>을 넣습니다. 내 턴이 끝날 때 적에게 {감지}를 1 부여합니다.,S(K>~jinu_mirrorattack*1)[E]E(M>detect*1),@
~jinu_mirrorattack,레식: 거울 사출,0,AT,[일회성] [보존성] 지속하는 <레식: 검은 거울>을 파괴하는 것으로 (1.0 공격력)의 피해를 주고 어빌리티를 드로우합니다.,[O][K]R(C>$|#jinu_mirror)/N($)/E(A>A)/S(D>1),thrust
jinu_shieldpack,레식: 피자 보급,1,UT,(1.0 방어력)의 방어를 얻습니다. 적에게 {감지}가 3 이상 부여되어있다면 추가로 {방어력}이 30% 증가합니다.,S(B>B*1.2)/X(_detect)/I(X>2)/S(M>defense*Bx0.3),@
jinu_autoturret,러스트 수성: 자동 포탑,2,CT,내 턴이 끝날 때 적에게 (1.0 공격력)의 피해를 줍니다.,[E]E(A>A),gun
#jinu_fixtool,러스트 수성: 도면과 망치,3,CT,[일회성] [소환물] 공격력: 0 / 체력: (최대 체력의 50%) / 데미지 흡수율: 100%의 수성용 바리케이드를 설치합니다.,[O][M]{0|H*0.5|1},@
#jinu_rocket,러스트 공성: 로켓 런처,2,AT,(1.0 공격력)의 피해를 줍니다. 적이 가진 방어가 피해량에 합산됩니다.,E(A>A+f),explosion
jinu_electrosaw,러스트 공성: 전기톱,1,AT,(0.7 공격력)의 피해를 줍니다. 적이 방어를 가지고 있지 않은 경우 추가로 {출혈}을 (0.2 공격력) 만큼 부여합니다.,E(A>A*0.7)/I(f=0)/E(M>bleed*Ax0.2),thrust
jinu_cube,메이플: 수상한 큐브,1,UT,[일회성] [보존성] 잠재 능력을 설정합니다 - 해당 능력은 상태이상으로 확인할 수 있습니다. 페이지에 <메이플: 수상한 큐브>를 추가합니다.,[O][K]S(P>jinu_cube*1)/!,@
#jinu_coin,메이플: 판타즈마 코인,1,UT,[일회성] [휘발성] (0.7 방어력)의 방어를 얻고 {판타즈마 코인}을 1 얻습니다. 어빌리티 북에 <메이플: 판타즈마 코인>을 추가합니다. ,[V][O]S(B>B*0.7)/S(M>phantasma_coin*1)/S(K>#jinu_coin*1),@
~jinu_arcaneshade,메이플: 아케인셰이드,3,UT,[일회성] 최대 체력의 50%만큼 방어를 얻습니다. {공격력}과 {방어력}이 2배가 됩니다.,[O]S(B>H*0.5)/S(M>attack*A)/S(M>defense*B),@
jinu_terraburning,메이플: 테라 버닝,1,UT,다음 턴에 에너지를 2 얻습니다.,S(M>more_energy*2),@
jinu_asurastorm,메이플: 듀블 아수라 스톰,0,AT,남아있는 에너지의 양 X (1.1 공격력)의 피해를 줍니다. 에너지를 전부 소진합니다.,E(A>A*1.1*E)/S(E>-E),slash
jinu_clearing,뿌테: 빠른 클리어링,1,AT,[일회성] (0.8 공격력)의 피해를 줍니다. {테트리스 콤보}를 1 얻습니다. 페이지에 <뿌테: 빠른 클리어링>을 추가합니다.,[O]E(A>A*0.8)/S(M>tetris_combo*1)/S(P>jinu_clearing*1),hit
jinu_perfectclear,뿌테: 퍼펙트 클리어,0,UT,자신에게 부여되어 있는 {테트리스 콤보}의 수만큼 에너지를 회복합니다.,X(tetris_combo)/S(E>X),@
jinu_tspin,뿌테: T스핀,1,AT,[보존성] (0.5 공격력)의 피해를 줍니다. {테트리스 콤보}가 2 이상 쌓였다면 추가로 에너지를 2 회복합니다.,[K]E(A>A*0.5)/X(tetris_combo)/I(X>1)/S(E>2),hit
#jinu_payoen,뿌테: 빠요엔,0,AT,[휘발성] {테트리스 콤보}가 7 이상 쌓였다면 (4.0 공격력)의 피해를 줍니다.,[V]X(tetris_combo)/I(X>6)/E(A>A*4),hitFire
jinu_nuguri,만 오천원의 너구리,1,UT,[일회성] 페이지에서 어빌리티를 하나 선택해 복사합니다.,[O]M(P>$)/S(P>$*1),@
jinu_billionaire,섯다: 100억의 남자,1,UT,[일회성] [휘발성] 어빌리티를 3개 드로우합니다.,[O][V]S(D>3),@
#jinu_mask,지누의 가면,0,UT,[일회성] [보존성] 다음에 받는 피해량이 0이 됩니다.,[O][K]S(M>mask*1),@
#jinu_pixelnetwork,픽셀 네트워크,0,UT,[서장] [일회성] 적의 어빌리티 북에서 무작위 어빌리티를 복사해 페이지로 가져옵니다. 에너지를 1 회복합니다.,[I][O]R(k>$)/S(P>$*1)/S(E>1),@
$collet_gacha,단챠,1,UT,<흰봉 타격> / <금봉 타격> / <무지개봉 타격> 중 하나를 무작위로 페이지에 추가합니다.,S(P>^bong*1),@
$collet_defend,정치는 최선의 방어,1,UT,(1.0 방어력)의 방어를 얻습니다.,S(B>B),@
~collet_whitebong,흰봉 타격,0,AT,[휘발성] [일회성] (0.7 공격력)의 피해를 줍니다. {종합력}을 올릴 수 있는 무작위 타입을 얻습니다.,[V][O]E(A>A*0.7)/S(M>^bangtype*1),hit
~collet_goldbong,금봉 타격,0,AT,[휘발성] [일회성] (0.9 공격력)의 피해를 줍니다. {종합력}을 올릴 수 있는 무작위 타입을 얻습니다.,[V][O]E(A>A*0.9)/S(M>^bangtype*1),hit
~collet_rainbong,무지개봉 타격,0,AT,[휘발성] [일회성] (1.1 공격력)의 피해를 줍니다. {종합력}을 올릴 수 있는 무작위 타입을 얻습니다.,[V][O]E(A>A*1.1)/S(M>^bangtype*1),hit
